iter	RMSE
193	0.2975397174
194	0.2972637141
195	0.2971681487
196	0.2968339877
197	0.2968337719
198	0.2966831665
199	0.2966829711
200	0.2966245011
201	0.2964781417
202	0.2964779977
203	0.2964778742
204	0.2964777507
205	0.2964751167
206	0.2961956084
207	0.2956843026
208	0.2956341583
209	0.2951468725
210	0.2951466658
211	0.295061074
212	0.2945478195
213	0.2944772821
214	0.2944682073
215	0.2944380493
216	0.2944303928
217	0.2943257611
218	0.294222129
219	0.2942148401
220	0.2940064547
221	0.2939507109
222	0.2938250618
223	0.2937283049
224	0.2932839439
225	0.2927805044
226	0.2927473799
227	0.2927473278
228	0.2926735526
229	0.2925413069
230	0.2924036809
231	0.2922998891
232	0.2918322389
233	0.2917910509
234	0.2917677991
235	0.2917567163
236	0.2917441168
237	0.2917404048
238	0.2914561571
239	0.2914528182
240	0.29145084
241	0.2914002918
242	0.2913074524
243	0.2913056198
244	0.2912755009
245	0.2906959122
246	0.2904709826
247	0.2902482961
248	0.290106701
249	0.2901025475
250	0.2900932623
251	0.2900442654
252	0.2897230728
253	0.289611042
254	0.289365693
255	0.2891595627
256	0.2889743778
257	0.2888368898
258	0.2888367314
259	0.2886633341
260	0.2886578494
261	0.2885506276
262	0.288433139
263	0.2884174117
264	0.2884070356
265	0.2881548073
266	0.2880318088
267	0.2879205397
268	0.2879091286
269	0.2878239919
270	0.287823197
271	0.2878013523
272	0.2877938372
273	0.2874620227
274	0.2871686219
275	0.2870917449
276	0.2869930369
277	0.2867349475
278	0.2865663994
279	0.286166694
280	0.2859179733
281	0.2858850034
282	0.2858502794
283	0.2858480063
284	0.2856103941
285	0.2855219757
286	0.2853712584
287	0.28516223
288	0.2851615026
289	0.2850994499
290	0.2850959938
291	0.2850853256
292	0.285075449
293	0.2850745608
294	0.2850725918
295	0.2850716073
296	0.28502651
297	0.2849163049
298	0.2849144312
299	0.2848819019
300	0.284706696
301	0.2846958847
302	0.2846930881
303	0.2846882448
304	0.2845799883
305	0.2845631154
306	0.2845600709
307	0.2845504976
308	0.284547528
309	0.284543422
310	0.2845367321
311	0.284534277
312	0.2845083842
313	0.2845045349
314	0.2844753903
315	0.2843866083
316	0.2843819528
317	0.2843797431
318	0.2843644674
319	0.2843616997
320	0.2843261567
321	0.2843012322
322	0.2842764342
323	0.2841490408
324	0.2841468185
325	0.2841427174
326	0.2841406883
327	0.2838163615
328	0.2837380817
329	0.2837359207
330	0.2837338995
331	0.2837307493
332	0.2837289215
333	0.2837271905
334	0.2836603073
335	0.2836575973
336	0.2836567477
337	0.2835969581
338	0.2835618679
339	0.2835601359
340	0.2835585006
341	0.2835570483
342	0.283385383
343	0.2833838652
344	0.2833462186
345	0.2833449589
346	0.2833158134
347	0.2832862773
348	0.2831313962
349	0.283130211
350	0.2830173059
351	0.2830160448
352	0.282992072
353	0.2829840842
354	0.2829674396
355	0.2829170254
356	0.2829160442
357	0.2829149443
358	0.2829138769
359	0.2828695786
360	0.2828637766
361	0.2827836366
362	0.2827781026
363	0.282663125
364	0.2826587434
365	0.2826578908
366	0.2826554733
367	0.2826280592
368	0.2826223062
369	0.2825797219
370	0.2825707832
371	0.2825464056
372	0.2823413255
373	0.282232839
374	0.2822100644
375	0.282188823
376	0.2821836881
377	0.2821200072
378	0.2820439606
379	0.2819949499
380	0.2819833639
381	0.2819415703
382	0.2819110028
383	0.2818173646
384	0.2818167368
385	0.2818127966
386	0.2817691481
387	0.2814461205
388	0.2810908715
389	0.2810899924
390	0.2809203596
391	0.2809199035
392	0.2807290878
393	0.2806873139
394	0.2806872922
395	0.2805901471
396	0.2805651299
397	0.2805352715
398	0.2803153893
399	0.2803152261
400	0.2802961049
401	0.2802935473
402	0.280246734
403	0.2802465163
404	0.2802456781
405	0.2802454822
406	0.2802453407
407	0.2802453189
408	0.2802451883
409	0.2802450686
410	0.2802450468
411	0.2802449488
412	0.2802442413
413	0.280244176
414	0.2801124331
415	0.2801123024
416	0.2801122806
417	0.2798903659
418	0.2798902896
419	0.2798902352
420	0.2798851452
421	0.2798851343
422	0.2795282398
423	0.279528218
424	0.2795164752
425	0.2795164315
426	0.2795164206
427	0.2795163224
428	0.2795103853
429	0.2795103853
430	0.2794827391
431	0.2794468703
432	0.2793284138
433	0.2789964484
434	0.278953737
435	0.278953573
436	0.2789535621
437	0.2789535511
438	0.2788692574
439	0.278859434
440	0.2788554958
441	0.2788554739
442	0.2788481663
443	0.2786569828
444	0.2786569718
445	0.2786381966
446	0.2784133648
447	0.2784130142
448	0.2783829579
449	0.2783818949
450	0.2783676929
451	0.2783576546
452	0.2783501585
453	0.2782477793
454	0.2782477135
455	0.2780928674
456	0.2780922641
457	0.2780902457
458	0.2780819854
459	0.2780819525
460	0.2780813931
461	0.278017387
462	0.2779814389
463	0.2779807146
464	0.2779800123
465	0.2779564063
466	0.2779558466
467	0.2779371008
468	0.277936574
469	0.2779358277
470	0.2779357289
471	0.2779357179
472	0.2778813719
473	0.2776790096
474	0.2776784932
475	0.2776779769
476	0.2776773727
477	0.2776613438
478	0.2776613218
479	0.2776411388
480	0.2776380623
481	0.2776380513
482	0.2776371833
483	0.2776371394
484	0.2776371064
485	0.2776297117
486	0.2774395908
487	0.2774002467
488	0.2773959799
489	0.2773936595
490	0.2773043814
491	0.2772962847
492	0.2772851625
493	0.2772844914
494	0.2770179516
495	0.2770175442
496	0.2770169495
497	0.2770147141
498	0.2770138111
499	0.2770129081
500	0.2770123795
501	0.2769189796
502	0.2769169747
503	0.2769119183
504	0.2769114556
505	0.2766867422
506	0.2766863894
507	0.2766861027
508	0.2765821811
509	0.2765819054
510	0.2765729052
511	0.2765721332
512	0.2765718354
513	0.2765715927
514	0.2765715927
515	0.2765706221
516	0.2765704015
517	0.276570214
518	0.2765700595
519	0.2765521575
520	0.2765493005
521	0.2765452853
522	0.276545164
523	0.2765450537
524	0.276541601
525	0.2765415017
526	0.2765414024
527	0.2765413362
528	0.2765412811
529	0.2765412259
530	0.276540564
531	0.2765395933
532	0.276539141
533	0.2765390307
534	0.276538424
535	0.276538082
536	0.2765379938
537	0.2765365046
538	0.2765358427
539	0.2765355449
540	0.2765351919
541	0.276534883
542	0.2765343314
543	0.2765338571
544	0.2765337578
545	0.2765331621
546	0.2765304042
547	0.2765298416
548	0.2762733066
549	0.2762732955
550	0.2762726109
551	0.2762721251
552	0.2762717166
553	0.2762716834
554	0.2762633578
555	0.2762633357
556	0.2762070924
557	0.2761437124
558	0.2761436793
559	0.2761436572
560	0.2761430717
561	0.2761426961
562	0.2761423536
563	0.2761420664
564	0.2761418234
565	0.2761409507
566	0.2761407297
567	0.2761399344
568	0.2761391831
569	0.2761352172
570	0.2761345986
571	0.276134223
572	0.2761341677
573	0.2761338584
574	0.2761336595
575	0.2761333834
576	0.2761331956
577	0.276133074
578	0.2761329636
579	0.2761328641
580	0.2761279259
581	0.2761273404
582	0.2761270863
583	0.2761268543
584	0.2761267438
585	0.2761238162
586	0.2761235952
587	0.2761234848
588	0.2761234074
589	0.2761184691
590	0.2761183917
591	0.2759387602
592	0.2759386939
593	0.2759386275
594	0.2759369471
595	0.2759353883
596	0.2759351451
597	0.275933719
598	0.2759336969
599	0.2759332768
600	0.2759331883
601	0.275933111
602	0.2759317511
603	0.2759305019
604	0.2759304134
605	0.275930336
606	0.2759302587
607	0.2759287441
608	0.2759286777
609	0.2759286114
610	0.2759274063
611	0.2759262676
612	0.2759261902
613	0.2759073729
614	0.2758486241
615	0.2758422542
616	0.2757562792
617	0.2755358383
618	0.2753963269
619	0.2753963158
620	0.2753960167
621	0.2751493896
622	0.2751493674
623	0.2751493453
624	0.2751493231
625	0.2749722203
626	0.2749713106
627	0.2748394598
628	0.2748394598
629	0.2748394487
630	0.2747141307
631	0.2747141307
632	0.2747109882
633	0.274710966
634	0.2747054581
635	0.2745846006
636	0.2745795679
637	0.2745749573
638	0.2745738796
639	0.2744419157
640	0.2744418268
641	0.2744409042
642	0.2744408153
643	0.2744093678
644	0.2744092566
645	0.2744091677
646	0.2744091121
647	0.2744082672
648	0.2744046765
649	0.2744041651
650	0.2744037316
651	0.2744037204
652	0.2744030201
653	0.2744022308
654	0.2743978173
655	0.2743607722
656	0.2743607611
657	0.2743602274
658	0.2743597715
659	0.2743593713
660	0.2743588709
661	0.2743585151
662	0.2743582372
663	0.2743580704
664	0.2743580592
665	0.2743579481
666	0.2743575255
667	0.2743574366
668	0.2743572031
669	0.2743090654
670	0.2743087095
671	0.2743085204
672	0.2742911825
673	0.2742910602
674	0.2742909601
675	0.2742908378
676	0.2742908266
677	0.2742864447
678	0.2742862668
679	0.2742806057
680	0.2742803277
681	0.2742599292
682	0.2742598069
683	0.2742598069
684	0.2742566035
685	0.2742565034
686	0.2742564255
687	0.2742563588
688	0.2742563477
689	0.2742562809
690	0.2742539674
691	0.2742539451
692	0.274253845
693	0.2742537671
694	0.2742536893
695	0.2742536893
696	0.2742536114
697	0.2742535558
698	0.2742534668
699	0.2742533445
700	0.2742533
701	0.2742532444
702	0.2742530664
703	0.2742529552
704	0.2742485393
705	0.2742484948
706	0.274245002
707	0.2742281384
708	0.2739906587
709	0.2739900018
710	0.2739894006
711	0.2739860827
712	0.2739770975
713	0.2739735791
714	0.2739735902
715	0.2739307861
716	0.273930775
717	0.2739288707
718	0.2739257191
719	0.2739254296
720	0.2738419274
721	0.2738332494
722	0.2737736098
723	0.2737732978
724	0.2737730415
725	0.2737596144
726	0.2737596032
727	0.2737572743
728	0.2737570292
729	0.2737569735
730	0.2737569735
731	0.2736869516
732	0.2736743562
733	0.2736743562
734	0.2736743674
735	0.2736743562
736	0.2736693513
737	0.2736692956
738	0.2736691841
739	0.2736690058
740	0.273668872
741	0.2736687606
742	0.2735793373
743	0.2735475343
744	0.2735463076
745	0.2735372856
746	0.2735371183
747	0.2735350552
748	0.2735340626
749	0.2735332485
750	0.2735324232
751	0.2735323563
752	0.2735323452
753	0.2735317318
754	0.2735137647
755	0.2735093591
756	0.2735090915
757	0.2735090357
758	0.2735075523
759	0.2734909109
760	0.2734908775
761	0.2734908886
762	0.2734908775
763	0.2734024002
764	0.2734018646
765	0.2733993653
766	0.2732555033
767	0.2732550232
768	0.2732535161
769	0.2731890378
770	0.273188714
771	0.2731884348
772	0.2731876867
773	0.2731870167
774	0.2731864918
775	0.2731859224
776	0.273179401
777	0.2731753251
778	0.27317097
779	0.2731703893
780	0.2731682452
781	0.2731662574
782	0.2731602158
783	0.2731554025
784	0.2730503718
785	0.2730095683
786	0.2729915557
787	0.272988695
788	0.2729825154
789	0.272981856
790	0.2729797216
791	0.2729789617
792	0.2729768944
793	0.2729652944
794	0.2729640092
795	0.2729635957
796	0.2729613829
797	0.2729602653
798	0.2729491229
799	0.2729474576
800	0.2729469435
801	0.2729462729
802	0.2729387176
803	0.2729374994
804	0.2728317027
805	0.2728317027
806	0.2728311324
807	0.2728311213
808	0.272830797
809	0.2728267942
810	0.2727578644
811	0.2727500354
812	0.2727496887
813	0.2727495881
814	0.2725894253
815	0.2725889217
816	0.2725878698
817	0.2725877579
818	0.2725862359
819	0.2725559287
820	0.2725555146
821	0.2725552684
822	0.2725550781
823	0.2725452398
824	0.2725091743
825	0.2725091295
826	0.2725079877
827	0.2725079877
828	0.2725079877
829	0.2725074168
830	0.2723734325
831	0.2723727942
832	0.2723108407
833	0.2721164767
834	0.2721144588
835	0.2721142907
836	0.2720239751
837	0.2719577134
838	0.2719559748
839	0.2719553578
840	0.271939732
841	0.2719394291
842	0.2719393282
843	0.2719392721
844	0.2718720136
845	0.2718717555
846	0.2718717218
847	0.2718697021
848	0.2718692084
849	0.2717376599
850	0.2717361331
851	0.2716932573
852	0.2716919548
853	0.2716907647
854	0.2716906861
855	0.2716884966
856	0.2715375831
857	0.2715145406
858	0.2715142597
859	0.2715138215
860	0.2715125631
861	0.2715090802
862	0.2715089004
863	0.2715087543
864	0.2715086195
865	0.2714986984
866	0.2714986197
867	0.271495822
868	0.2714955411
869	0.2714944512
870	0.271493777
871	0.2714862037
872	0.2714845744
873	0.2714845295
874	0.271483934
875	0.2714830013
876	0.2714824732
877	0.2714812597
878	0.2714810799
879	0.2713066985
880	0.2712988052
881	0.2712987602
882	0.2712986478
883	0.2712983104
884	0.2712981868
885	0.271209669
886	0.2711787131
887	0.271175642
888	0.271175597
889	0.2711748658
890	0.271113505
891	0.2711127061
892	0.2710829431
893	0.2710723537
894	0.2710710821
895	0.2710710595
896	0.2709660427
897	0.2709384367
898	0.2709382115
899	0.2709264904
900	0.2709264567
901	0.2709264229
902	0.2708069541
903	0.2707889865
904	0.2707889076
905	0.2707889189
906	0.2707889189
907	0.2707888963
908	0.2707823849
909	0.2707805373
910	0.2707805373
911	0.2707805373
912	0.2707804472
913	0.2707641903
914	0.270734896
915	0.2707030293
916	0.2706425985
917	0.2706354748
918	0.2706352607
919	0.2706350691
920	0.2705740819
921	0.2705480708
922	0.2705220008
923	0.2704823272
924	0.2704111302
925	0.2704109723
926	0.2704035943
927	0.2704014283
928	0.270382249
929	0.270372343
930	0.270351503
931	0.2703429273
932	0.270342916
933	0.270329059
934	0.2703279869
935	0.2703189478
936	0.2703182482
937	0.2703169955
938	0.2703169843
939	0.2702621108
940	0.2702621108
941	0.2702621108
942	0.2702620995
943	0.2702533404
944	0.2702533291
945	0.2702533404
946	0.2702412623
947	0.2702395917
948	0.2701966138
949	0.2701966025
950	0.2701965912
951	0.2701965912
952	0.2701965912
953	0.2701965799
954	0.2701965912
955	0.2700325645
956	0.2700325532
957	0.2700325532
958	0.2700322821
959	0.2700296725
960	0.2700294691
961	0.2700294691
962	0.2700294691
963	0.2700294578
964	0.2700294465
965	0.2700205782
966	0.2700205782
967	0.2700205895
968	0.2700205669
969	0.2699755542
970	0.2699755542
971	0.2699749779
972	0.2699749666
973	0.2699749553
974	0.2699747633
975	0.2699739836
976	0.2699726164
977	0.2699162828
978	0.2699162715
979	0.2699162376
980	0.2699162263
981	0.2699162376
982	0.269916215
983	0.2699162037
984	0.2699162037
985	0.2699141016
986	0.269910824
987	0.2699033646
988	0.2698954302
989	0.2698954189
990	0.2698953963
991	0.269895385
992	0.2698821379
993	0.2698821153
994	0.2698821153
995	0.2698394536
996	0.2698394536
997	0.2698394536
998	0.2698245984
999	0.2696888628
